Kingdom	Phylum	Class	Order	Family	Genus	Species
549322	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA	NA
522457	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA	NA
951	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobusacidocaldarius
244423	Archaea	Crenarchaeota	Sd-NA	NA	NA	NA	NA
586076	Archaea	Crenarchaeota	Sd-NA	NA	NA	NA	NA
246140	Archaea	Crenarchaeota	Sd-NA	NA	NA	NA	NA
143239	Archaea	Crenarchaeota	Sd-NA	NRP-J	NA	NA	NA
244960	Archaea	Crenarchaeota	Sd-NA	NRP-J	NA	NA	NA
255340	Archaea	Crenarchaeota	Sd-NA	NRP-J	NA	NA	NA
144887	Archaea	Crenarchaeota	Sd-NA	NRP-J	NA	NA	NA
141782	Archaea	Crenarchaeota	Sd-NA	NRP-J	NA	NA	NA
215972	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	SAGMA-X	NA	NA
31759	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	SAGMA-X	NA	NA
30678	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	SAGMA-X	NA	NA
138353	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
406058	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
30405	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
1126	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
46043	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
512519	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
554594	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
210741	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
550229	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
105798	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
183473	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
541313	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
540305	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
511243	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
568829	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
185612	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
321018	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
549041	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	NA
153762	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	NA
155789	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	NA
155495	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	Cenarchaeumsymbiosum
1029	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	Cenarchaeumsymbiosum
155526	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	NA
197473	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	NA
315545	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	NA
348549	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	NA
559394	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	NA
341551	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	pIVWA5
108964	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	pIVWA5
330416	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	pIVWA5
